2018-02-17 00:14:09 startup archives unpack
2018-02-17 00:14:09 install libgdbm3:amd64 <none> 1.8.3-13.1
2018-02-17 00:14:09 status half-installed libgdbm3:amd64 1.8.3-13.1
2018-02-17 00:14:09 status unpacked libgdbm3:amd64 1.8.3-13.1
2018-02-17 00:14:09 status unpacked libgdbm3:amd64 1.8.3-13.1
2018-02-17 00:14:09 install libssl1.0.0:amd64 <none> 1.0.1t-1+deb8u7
2018-02-17 00:14:09 status half-installed libssl1.0.0:amd64 1.0.1t-1+deb8u7
2018-02-17 00:14:10 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u7
2018-02-17 00:14:10 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u7
2018-02-17 00:14:10 install libgmp10:amd64 <none> 2:6.0.0+dfsg-6
2018-02-17 00:14:10 status half-installed libgmp10:amd64 2:6.0.0+dfsg-6
2018-02-17 00:14:10 status unpacked libgmp10:amd64 2:6.0.0+dfsg-6
2018-02-17 00:14:10 status unpacked libgmp10:amd64 2:6.0.0+dfsg-6
2018-02-17 00:14:10 install libnettle4:amd64 <none> 2.7.1-5+deb8u2
2018-02-17 00:14:10 status half-installed libnettle4:amd64 2.7.1-5+deb8u2
2018-02-17 00:14:10 status unpacked libnettle4:amd64 2.7.1-5+deb8u2
2018-02-17 00:14:10 status unpacked libnettle4:amd64 2.7.1-5+deb8u2
2018-02-17 00:14:10 install libhogweed2:amd64 <none> 2.7.1-5+deb8u2
2018-02-17 00:14:10 status half-installed libhogweed2:amd64 2.7.1-5+deb8u2
2018-02-17 00:14:10 status unpacked libhogweed2:amd64 2.7.1-5+deb8u2
2018-02-17 00:14:10 status unpacked libhogweed2:amd64 2.7.1-5+deb8u2
2018-02-17 00:14:10 install libffi6:amd64 <none> 3.1-2+deb8u1
2018-02-17 00:14:10 status half-installed libffi6:amd64 3.1-2+deb8u1
2018-02-17 00:14:10 status unpacked libffi6:amd64 3.1-2+deb8u1
2018-02-17 00:14:10 status unpacked libffi6:amd64 3.1-2+deb8u1
2018-02-17 00:14:10 install libp11-kit0:amd64 <none> 0.20.7-1
2018-02-17 00:14:10 status half-installed libp11-kit0:amd64 0.20.7-1
2018-02-17 00:14:10 status unpacked libp11-kit0:amd64 0.20.7-1
2018-02-17 00:14:10 status unpacked libp11-kit0:amd64 0.20.7-1
2018-02-17 00:14:10 install libtasn1-6:amd64 <none> 4.2-3+deb8u3
2018-02-17 00:14:10 status half-installed libtasn1-6:amd64 4.2-3+deb8u3
2018-02-17 00:14:10 status unpacked libtasn1-6:amd64 4.2-3+deb8u3
2018-02-17 00:14:10 status unpacked libtasn1-6:amd64 4.2-3+deb8u3
2018-02-17 00:14:10 install libgnutls-deb0-28:amd64 <none> 3.3.8-6+deb8u7
2018-02-17 00:14:10 status half-installed libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-02-17 00:14:10 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-02-17 00:14:10 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-02-17 00:14:10 install libkeyutils1:amd64 <none> 1.5.9-5+b1
2018-02-17 00:14:10 status half-installed libkeyutils1:amd64 1.5.9-5+b1
2018-02-17 00:14:10 status unpacked libkeyutils1:amd64 1.5.9-5+b1
2018-02-17 00:14:10 status unpacked libkeyutils1:amd64 1.5.9-5+b1
2018-02-17 00:14:10 install libkrb5support0:amd64 <none> 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 status half-installed libkrb5support0:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 status unpacked libkrb5support0:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 status unpacked libkrb5support0:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 install libk5crypto3:amd64 <none> 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 status half-installed libk5crypto3:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 status unpacked libk5crypto3:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 status unpacked libk5crypto3:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 install libkrb5-3:amd64 <none> 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 status half-installed libkrb5-3:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 status unpacked libkrb5-3:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 status unpacked libkrb5-3:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 install libgssapi-krb5-2:amd64 <none> 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 status half-installed libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 status unpacked libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 status unpacked libgssapi-krb5-2:amd64 1.12.1+dfsg-19+deb8u4
2018-02-17 00:14:10 install libidn11:amd64 <none> 1.29-1+deb8u2
2018-02-17 00:14:10 status half-installed libidn11:amd64 1.29-1+deb8u2
2018-02-17 00:14:10 status unpacked libidn11:amd64 1.29-1+deb8u2
2018-02-17 00:14:10 status unpacked libidn11:amd64 1.29-1+deb8u2
2018-02-17 00:14:10 install libsasl2-modules-db:amd64 <none> 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:10 status half-installed libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:10 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:10 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:10 install libsasl2-2:amd64 <none> 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:10 status half-installed libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:10 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:10 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-02-17 00:14:10 install libldap-2.4-2:amd64 <none> 2.4.40+dfsg-1+deb8u3
2018-02-17 00:14:10 status half-installed libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-02-17 00:14:10 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-02-17 00:14:10 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-02-17 00:14:10 install libmagic1:amd64 <none> 1:5.22+15-2+deb8u3
2018-02-17 00:14:10 status half-installed libmagic1:amd64 1:5.22+15-2+deb8u3
2018-02-17 00:14:11 status unpacked libmagic1:amd64 1:5.22+15-2+deb8u3
2018-02-17 00:14:11 status unpacked libmagic1:amd64 1:5.22+15-2+deb8u3
2018-02-17 00:14:11 install perl-modules:all <none> 5.20.2-3+deb8u9
2018-02-17 00:14:11 status half-installed perl-modules:all 5.20.2-3+deb8u9
2018-02-17 00:14:11 status unpacked perl-modules:all 5.20.2-3+deb8u9
2018-02-17 00:14:11 status unpacked perl-modules:all 5.20.2-3+deb8u9
2018-02-17 00:14:11 install perl:amd64 <none> 5.20.2-3+deb8u9
